community_area,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
South Lawndale Little Village,Mexican Restaurant,Park,Electronics Store,Donut Shop,Food,Restaurant,Cupcake Shop,Ethiopian Restaurant,Flower Shop,Floating Market
South Shore,Intersection,Wings Joint,Bus Station,Baseball Field,Record Shop,Rental Car Location,Deli / Bodega,Vegetarian / Vegan Restaurant,Yoga Studio,Eye Doctor
The Loop,Theater,Hotel,American Restaurant,Middle Eastern Restaurant,Coffee Shop,Gastropub,Donut Shop,Sandwich Place,Public Art,Mediterranean Restaurant
Uptown,Vietnamese Restaurant,Chinese Restaurant,Thai Restaurant,Music Venue,Bakery,Sushi Restaurant,Grocery Store,Pizza Place,Coffee Shop,Ethiopian Restaurant
Washington Heights,Cosmetics Shop,American Restaurant,Salon / Barbershop,Basketball Court,Yoga Studio,Ethiopian Restaurant,Food,Flower Shop,Floating Market,Fish Market
Washington Park,Fast Food Restaurant,Breakfast Spot,Art Gallery,Theater,Yoga Studio,Ethiopian Restaurant,Food,Flower Shop,Floating Market,Fish Market
West Elsdon,Mexican Restaurant,Ice Cream Shop,Currency Exchange,Pizza Place,Deli / Bodega,Gas Station,Eye Doctor,Food,Flower Shop,Floating Market
West Englewood,Fast Food Restaurant,Train Station,Fried Chicken Joint,Wings Joint,Cosmetics Shop,Liquor Store,Currency Exchange,Discount Store,Field,Farmers Market
West Garfield Park,Fast Food Restaurant,Fried Chicken Joint,Middle Eastern Restaurant,Discount Store,Cosmetics Shop,Mobile Phone Shop,Clothing Store,Shoe Store,Intersection,Taco Place
West Lawn,Mexican Restaurant,Fast Food Restaurant,Ice Cream Shop,Diner,Shopping Mall,Seafood Restaurant,Bowling Alley,Automotive Shop,Discount Store,Donut Shop
West Pullman,Convenience Store,Bar,Yoga Studio,Ethiopian Restaurant,Food,Flower Shop,Floating Market,Fish Market,Fish & Chips Shop,Field
West Ridge,Indian Restaurant,Pakistani Restaurant,Market,Chinese Restaurant,Boutique,Electronics Store,Burmese Restaurant,Mediterranean Restaurant,Football Stadium,Fried Chicken Joint
West Town,Bar,Italian Restaurant,Boutique,Pub,Bakery,Mediterranean Restaurant,Mexican Restaurant,Café,Restaurant,Chinese Restaurant
Woodlawn,Shipping Store,Coffee Shop,Diner,Park,Discount Store,Bus Station,Electronics Store,Floating Market,Fish Market,Fish & Chips Shop
