community_area,zip_codes,population,latitude,longitude,community_area,Birth Rate,General Fertility Rate,Low Birth Weight,Prenatal Care Beginning in First Trimester,Preterm Births,Teen Birth Rate,Assault (Homicide),Breast cancer in females,Cancer (All Sites),Colorectal Cancer,Diabetes-related,Firearm-related,Infant Mortality Rate,Lung Cancer,Prostate Cancer in Males,Stroke (Cerebrovascular Disease),Gonorrhea in Males,Tuberculosis,Below Poverty Level,Crowded Housing,Dependency,No High School Diploma,Per Capita Income,Unemployment
Humboldt Park,"60622, 60624, 60647,, 60651.",55011,41.8800°N,87.700°W,Humboldt Park,19.2,80.7,12.3,70.9,11.7,77.9,29.0,26.3,211.1,26.6,94.1,22.7,9.8,48.0,52.5,53.5,937.5,9.7,32.6,11.2,38.3,36.8,13391,12.3
West Town,"60612, 60622, 60642, 60647",84255,41.900°N,87.6800°W,West Town,18.8,60.4,9.1,75.5,10.8,49.2,8.5,14.5,139.6,12.4,107.0,6.6,5.1,27.4,16.6,33.3,182.8,3.6,15.7,2.0,22.9,13.4,39596,6.0
Austin,"60644 , 60639, 60651, 60707",97643,41.900°N,87.7600°W,Austin,18.0,80.1,15.4,72.9,14.3,81.8,34.4,33.7,261.9,29.8,113.9,28.5,13.3,74.6,69.8,56.8,1678.9,5.8,27.0,5.7,39.0,25.0,15920,21.0
West Garfield Park,60624,"17,742",41.8800°N,87.7300°W,West Garfield Park,20.1,88.4,17.0,71.4,17.5,114.9,40.0,54.7,291.5,31.4,118.2,36.0,19.0,65.3,75.0,77.0,2336.7,6.5,40.3,8.9,42.5,26.2,10951,25.2
East Garfield Park,"60612, 60624","20,656",41.8800°N,87.700°W,East Garfield Park,19.4,80.8,17.5,73.2,16.3,93.2,38.4,21.7,236.8,24.8,97.3,37.1,11.0,56.3,78.1,47.5,1730.2,13.6,39.7,7.5,43.2,26.2,13596,16.4
Near West Side,"60606, 60607, 60608, 60610, 60612, 60661",62733,41.8700°N,87.6700°W,Near West Side,18.2,55.6,9.0,77.6,10.5,36.7,12.7,33.4,202.0,19.2,62.3,9.3,9.1,66.2,33.6,43.5,466.5,14.1,21.6,3.8,22.9,11.2,41488,10.7
North Lawndale,"60608, 60623, 60624",33854,41.8600°N,87.7100°W,North Lawndale,20.6,86.3,15.3,75.8,15.2,108.9,46.7,45.8,261.5,34.8,99.2,37.6,14.1,61.7,54.0,70.2,2236.3,9.3,38.6,7.2,40.9,30.4,12548,18.5
South Lawndale Little Village,"60608, 60623",73826,41.8500°N,87.7100°W,South Lawndale,19.5,94.9,7.6,85.1,9.6,77.5,11.1,13.2,127.4,9.2,65.0,8.6,5.9,15.9,32.7,37.3,106.8,7.9,28.1,17.6,33.1,58.7,10697,11.5
Lower West Side Pilsen,"60608, 60616",34410,41.850°N,87.6600°W,Lower West Side,16.5,68.2,4.5,80.8,8.8,49.0,11.7,27.2,141.3,11.9,61.9,11.7,5.4,27.8,14.3,39.2,78.7,11.4,27.2,10.4,35.2,44.3,15467,13.0
The Loop,"60601, 60602, 60603, 60604,, 60605, 60606, 60607,, 60616",37647,41.88194°N,87.62778°W,Loop,9.4,27.7,5.3,78.2,6.9,1.3,0.7,20.2,120.1,10.8,26.8,4.0,5.7,29.2,17.2,39.0,200.5,6.5,11.1,2.0,15.5,3.4,67699,4.2
